timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765203886834,0.817000,0.606000,0.198000,0.147000,9.102000,8.842000,3.069000,level_1_state_1
1765203887189,0.817000,0.607000,0.197000,0.147000,8.985000,8.693000,3.024000,level_1_state_1
1765203887493,0.817000,0.606000,0.197000,0.147000,8.868000,8.546000,2.980000,level_1_state_1
1765203887595,0.817000,0.606000,0.197000,0.147000,8.868000,8.546000,2.980000,level_1_state_1
1765203888000,0.817000,0.606000,0.197000,0.147000,8.868000,8.546000,2.980000,level_1_state_1
1765203888101,0.817000,0.607000,0.197000,0.147000,8.868000,8.546000,2.980000,level_1_state_1
1765203888506,0.816000,0.606000,0.196000,0.147000,8.868000,8.546000,2.980000,level_1_state_1
1765203888608,0.816000,0.606000,0.196000,0.146000,8.985000,8.693000,3.024000,level_1_state_1
1765203888912,0.816000,0.606000,0.196000,0.146000,8.985000,8.693000,3.024000,level_1_state_1
1765203889569,0.815000,0.607000,0.196000,0.146000,8.868000,8.546000,2.980000,level_1_state_1
1765203889619,0.816000,0.606000,0.196000,0.145000,8.985000,8.693000,3.024000,level_1_state_1
1765203890328,0.817000,0.607000,0.195000,0.145000,8.751000,8.399000,2.935000,level_1_state_1
1765203890431,0.816000,0.606000,0.195000,0.145000,8.868000,8.546000,2.980000,level_1_state_1
1765203890886,0.816000,0.607000,0.194000,0.145000,8.751000,8.399000,2.935000,level_1_state_1
1765203890937,0.816000,0.605000,0.194000,0.146000,8.751000,8.399000,2.935000,level_1_state_1
1765203891190,0.816000,0.606000,0.194000,0.145000,8.635000,8.254000,2.891000,level_1_state_1
1765203891797,0.816000,0.606000,0.194000,0.145000,8.751000,8.399000,2.935000,level_1_state_1
1765203891898,0.816000,0.605000,0.193000,0.146000,8.868000,8.546000,2.980000,level_1_state_1
1765203892506,0.815000,0.605000,0.194000,0.144000,8.751000,8.399000,2.935000,level_1_state_1
1765203892606,0.815000,0.606000,0.193000,0.144000,8.868000,8.546000,2.980000,level_1_state_1
1765203893111,0.815000,0.605000,0.193000,0.144000,8.751000,8.399000,2.935000,level_1_state_1
1765203893211,0.815000,0.605000,0.193000,0.145000,8.751000,8.399000,2.935000,level_1_state_1
1765203893514,0.815000,0.605000,0.192000,0.144000,8.635000,8.254000,2.891000,level_1_state_1
1765203894171,0.815000,0.605000,0.192000,0.143000,8.751000,8.399000,2.935000,level_1_state_1
1765203895386,0.814000,0.604000,0.191000,0.144000,8.635000,8.254000,2.891000,level_1_state_1
1765203895944,0.815000,0.605000,0.190000,0.144000,8.751000,8.399000,2.935000,level_1_state_1
1765203896096,0.815000,0.605000,0.190000,0.143000,8.868000,8.546000,2.980000,level_1_state_1
1765203896704,0.815000,0.606000,0.189000,0.143000,8.635000,8.254000,2.891000,level_1_state_1
1765203896805,0.814000,0.605000,0.189000,0.142000,8.751000,8.399000,2.935000,level_1_state_1
1765203897564,0.815000,0.605000,0.189000,0.142000,8.520000,8.110000,2.848000,level_1_state_1
1765203897615,0.814000,0.604000,0.188000,0.142000,8.751000,8.399000,2.935000,level_1_state_1
1765203898323,0.814000,0.605000,0.188000,0.141000,8.405000,7.967000,2.804000,level_1_state_1
1765203898727,0.814000,0.604000,0.188000,0.141000,8.751000,8.399000,2.935000,level_1_state_1
1765203899484,0.813000,0.604000,0.188000,0.141000,8.520000,8.110000,2.848000,level_1_state_1
1765203899888,0.814000,0.603000,0.188000,0.141000,8.520000,8.110000,2.848000,level_1_state_1
1765203900142,0.813000,0.604000,0.188000,0.141000,8.520000,8.110000,2.848000,level_1_state_1
1765203900800,0.813000,0.604000,0.187000,0.141000,8.405000,7.967000,2.804000,level_1_state_1
1765203900902,0.813000,0.604000,0.187000,0.141000,8.520000,8.110000,2.848000,level_1_state_1
1765203901508,0.813000,0.603000,0.186000,0.141000,8.405000,7.967000,2.804000,level_1_state_1
1765203901864,0.812000,0.604000,0.186000,0.141000,8.405000,7.967000,2.804000,level_1_state_1
1765203902370,0.813000,0.604000,0.186000,0.141000,8.290000,7.826000,2.761000,level_1_state_1
1765203902977,0.813000,0.604000,0.186000,0.140000,8.405000,7.967000,2.804000,level_1_state_1
1765203903028,0.813000,0.603000,0.185000,0.140000,8.405000,7.967000,2.804000,level_1_state_1
1765203904192,0.812000,0.603000,0.185000,0.140000,8.290000,7.826000,2.761000,level_1_state_1
1765203904596,0.813000,0.604000,0.184000,0.138000,8.176000,7.685000,2.718000,level_1_state_1
1765203904799,0.812000,0.602000,0.183000,0.139000,8.176000,7.685000,2.718000,level_1_state_1
1765203905406,0.812000,0.603000,0.183000,0.138000,8.063000,7.546000,2.675000,level_1_state_1
1765203906315,0.812000,0.603000,0.183000,0.139000,8.290000,7.826000,2.761000,level_1_state_1
1765203906874,0.812000,0.602000,0.182000,0.137000,8.176000,7.685000,2.718000,level_1_state_1
1765203906975,0.812000,0.603000,0.182000,0.138000,8.290000,7.826000,2.761000,level_1_state_1
1765203907481,0.812000,0.603000,0.182000,0.137000,8.063000,7.546000,2.675000,level_1_state_1
1765203907582,0.813000,0.603000,0.182000,0.138000,8.176000,7.685000,2.718000,level_1_state_1
1765203908138,0.812000,0.603000,0.182000,0.137000,8.063000,7.546000,2.675000,level_1_state_1
1765203909101,0.812000,0.602000,0.181000,0.138000,8.405000,7.967000,2.804000,level_1_state_1
1765203909406,0.812000,0.603000,0.181000,0.137000,8.063000,7.546000,2.675000,level_1_state_1
1765203909506,0.811000,0.602000,0.180000,0.137000,8.176000,7.685000,2.718000,level_1_state_1
1765203910012,0.811000,0.603000,0.180000,0.137000,8.063000,7.546000,2.675000,level_1_state_1
1765203910113,0.811000,0.603000,0.180000,0.137000,8.176000,7.685000,2.718000,level_1_state_1
1765203910822,0.810000,0.602000,0.180000,0.137000,8.176000,7.685000,2.718000,level_1_state_1
1765203911328,0.811000,0.602000,0.179000,0.137000,8.063000,7.546000,2.675000,level_1_state_1
1765203911480,0.811000,0.602000,0.179000,0.137000,8.063000,7.546000,2.675000,level_1_state_1
1765203912694,0.810000,0.603000,0.178000,0.135000,7.950000,7.408000,2.633000,level_1_state_1
1765203912746,0.811000,0.602000,0.179000,0.137000,7.950000,7.408000,2.633000,level_1_state_1
1765203913402,0.810000,0.602000,0.178000,0.136000,8.063000,7.546000,2.675000,level_1_state_1
1765203914209,0.810000,0.602000,0.177000,0.136000,8.176000,7.685000,2.718000,level_1_state_1
1765203914716,0.810000,0.602000,0.177000,0.136000,7.950000,7.408000,2.633000,level_1_state_1
1765203914817,0.810000,0.601000,0.177000,0.136000,8.063000,7.546000,2.675000,level_1_state_1
1765203915372,0.810000,0.601000,0.177000,0.137000,7.950000,7.408000,2.633000,level_1_state_1
1765203915423,0.810000,0.601000,0.176000,0.137000,8.063000,7.546000,2.675000,level_1_state_1
1765203915929,0.810000,0.601000,0.176000,0.135000,7.950000,7.408000,2.633000,level_1_state_1
1765203917498,0.810000,0.601000,0.175000,0.136000,8.063000,7.546000,2.675000,level_1_state_1
1765203917903,0.809000,0.600000,0.174000,0.134000,7.950000,7.408000,2.633000,level_1_state_1
1765203918509,0.810000,0.601000,0.175000,0.135000,7.837000,7.271000,2.590000,level_1_state_1
1765203919167,0.811000,0.601000,0.175000,0.134000,7.950000,7.408000,2.633000,level_1_state_1
1765203919824,0.810000,0.601000,0.174000,0.135000,8.063000,7.546000,2.675000,level_1_state_1
1765203920280,0.809000,0.601000,0.174000,0.134000,8.063000,7.546000,2.675000,level_1_state_1
1765203920787,0.810000,0.600000,0.173000,0.134000,7.837000,7.271000,2.590000,level_1_state_1
1765203921546,0.809000,0.601000,0.173000,0.133000,7.837000,7.271000,2.590000,level_1_state_1
1765203921597,0.809000,0.601000,0.173000,0.133000,7.950000,7.408000,2.633000,level_1_state_1
1765203922405,0.809000,0.600000,0.173000,0.133000,7.725000,7.135000,2.549000,level_1_state_1
1765203923116,0.807000,0.600000,0.172000,0.132000,7.837000,7.271000,2.590000,level_1_state_1
1765203923725,0.809000,0.600000,0.172000,0.134000,7.725000,7.135000,2.549000,level_1_state_1
1765203923826,0.808000,0.600000,0.172000,0.133000,7.950000,7.408000,2.633000,level_1_state_1
1765203924230,0.809000,0.600000,0.171000,0.133000,7.725000,7.135000,2.549000,level_1_state_1
1765203924331,0.809000,0.600000,0.171000,0.133000,7.613000,7.001000,2.507000,level_1_state_1
1765203924939,0.809000,0.600000,0.171000,0.133000,7.725000,7.135000,2.549000,level_1_state_1
1765203925598,0.808000,0.599000,0.170000,0.133000,7.725000,7.135000,2.549000,level_1_state_1
1765203927470,0.809000,0.600000,0.169000,0.132000,7.613000,7.001000,2.507000,level_1_state_1
1765203927926,0.807000,0.599000,0.169000,0.132000,7.837000,7.271000,2.590000,level_1_state_1
1765203928381,0.807000,0.599000,0.169000,0.132000,7.502000,6.867000,2.465000,level_1_state_1
1765203929241,0.807000,0.599000,0.169000,0.132000,7.502000,6.867000,2.465000,level_1_state_1
1765203929445,0.807000,0.599000,0.168000,0.132000,7.837000,7.271000,2.590000,level_1_state_1
1765203930203,0.807000,0.598000,0.168000,0.131000,7.725000,7.135000,2.549000,level_1_state_1
1765203930862,0.807000,0.599000,0.168000,0.132000,7.502000,6.867000,2.465000,level_1_state_1
1765203931014,0.807000,0.599000,0.167000,0.132000,7.613000,7.001000,2.507000,level_1_state_1
1765203931622,0.807000,0.599000,0.167000,0.130000,7.502000,6.867000,2.465000,level_1_state_1
1765203931926,0.806000,0.598000,0.167000,0.130000,7.502000,6.867000,2.465000,level_1_state_1
1765203932028,0.807000,0.599000,0.167000,0.130000,7.502000,6.867000,2.465000,level_1_state_1
1765203932535,0.807000,0.599000,0.167000,0.130000,7.613000,7.001000,2.507000,level_1_state_1
